rhs       -----------start-------------
CPU10  raw=478615 ena=218847846 run=18446744073569818247 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU10  raw=5756647 ena=219478150 run=151921603 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU10  raw=468660 ena=219475620 run=151927394 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU10  raw=4118962 ena=219473568 run=151940312 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU10  raw=8074 ena=219470311 run=151948095 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU10  raw=4716202 ena=219466842 run=151966900 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU10  raw=1057 ena=219463004 run=151956486 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU10  raw=99 ena=219485629 run=151981630 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU10  raw=1093 ena=219480974 run=151980137 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU10  raw=78 ena=219473612 run=135056489 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU10  raw=39134 ena=219465825 run=135054744 ratio=0.00 hsw_ep::ICACHE:misses
CPU10  raw=553709 ena=219459715 run=152922232 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU10  raw=34863054848 ena=220927878 run=220927878 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU10  raw=9442557952 ena=220926600 run=220926600 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU10  raw=5694119 ena=219451567 run=151911785 ratio=0.00 cycles
CPU10  raw=552832 ena=219444880 run=151877704 ratio=0.00 instructions
CPU11  raw=1048795 ena=218703649 run=18446744073570613764 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU11  raw=1052451 ena=218841011 run=18446744073570526939 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU11  raw=473020 ena=218705898 run=18446744073569623221 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU11  raw=475406 ena=218843543 run=18446744073569544470 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU11  raw=5744920 ena=219131131 run=151708499 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU11  raw=467679 ena=219127919 run=151695419 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU11  raw=4125041 ena=219126166 run=151695407 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU11  raw=8017 ena=219123018 run=151698622 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU11  raw=4716543 ena=219119709 run=151705260 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU11  raw=1261 ena=219115874 run=151700328 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU11  raw=33 ena=219111500 run=151700776 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU11  raw=1208 ena=219133619 run=151730639 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU11  raw=19 ena=219125936 run=134837081 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU11  raw=39460 ena=219118094 run=134848046 ratio=0.00 hsw_ep::ICACHE:misses
CPU11  raw=553955 ena=219111895 run=152692417 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU11  raw=34700263424 ena=220923402 run=220923402 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU11  raw=9419358208 ena=220921399 run=220921399 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU11  raw=5682044 ena=219102948 run=151690678 ratio=0.00 cycles
CPU11  raw=557101 ena=219096046 run=151654574 ratio=0.00 instructions
CPU12  raw=1156592 ena=218680396 run=18446744073595048355 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU12  raw=1159105 ena=218802816 run=18446744073594973834 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU12  raw=597116 ena=218665951 run=18446744073596009953 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU12  raw=600513 ena=218793069 run=18446744073595934329 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU12  raw=298220046 ena=219900256 run=152221806 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU12  raw=14900963 ena=219898417 run=152205140 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU12  raw=639995274 ena=219897935 run=152211251 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU12  raw=70340 ena=219895628 run=152223587 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU12  raw=776302861 ena=219893334 run=152228830 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU12  raw=5255722 ena=219890639 run=152235860 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU12  raw=58034 ena=219887582 run=152241429 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU12  raw=5271508 ena=219884138 run=152236818 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU12  raw=36361 ena=219879346 run=135342954 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU12  raw=36778 ena=219873515 run=135348056 ratio=0.00 hsw_ep::ICACHE:misses
